idx,soil,Peff_mm,area_ratio,area_ratio_pct,LID_depth_m,tp_min_min,eta_p_pct,DetTime_h,Delta_tp_h,max_ponding_m,NPV_per_m2_catch
35,"Sand",12.7,0.05,5.000,1.1,60,22.852127965422383,47,0.75,0,20.18013240484094
41,"Sand",12.7,0.05,5.000,1.2,60,26.434922035913598,47,0.8333333333333334,0,21.230132404840937
93,"Sand",12.7,0.075,7.500,0.8,60,20.5729869733163,47,0.75,0,25.545198607261405
104,"Sand",12.7,0.075,7.500,0.9,60,24.57173117415027,47,0.9166666666666666,0,27.120198607261408
117,"Sand",12.7,0.075,7.500,1,60,28.122229796723925,47,1,0,28.695198607261403
130,"Sand",12.7,0.075,7.500,1.1,60,31.460211955121217,47,1.1666666666666667,0,30.270198607261406
144,"Sand",12.7,0.075,7.500,1.2,60,34.759211292753015,47,1.3333333333333333,0,31.845198607261402
216,"Sand",12.7,0.1,10.000,0.7,60,22.265012521717487,47,0.8333333333333334,0,31.960264809681874
232,"Sand",12.7,0.1,10.000,0.8,60,26.21644834692742,47,1,0,34.060264809681875
249,"Sand",12.7,0.1,10.000,0.9,60,29.972951169683437,47,1.1666666666666667,0,36.16026480968188
267,"Sand",12.7,0.1,10.000,1,60,33.49415583151764,47,1.3333333333333333,0,38.26026480968187
286,"Sand",12.7,0.1,10.000,1.1,60,36.8091698622026,47,1.5,0,40.36026480968188
307,"Sand",12.7,0.1,10.000,1.2,60,39.74232825528397,47,1.75,0,42.460264809681874
376,"Sand",12.7,0.15,15.000,0.5,60,21.183786878655223,47,0.8333333333333334,0,41.64039721452281
397,"Sand",12.7,0.15,15.000,0.6,60,25.519353867081648,47,1,0,44.79039721452281
420,"Sand",12.7,0.15,15.000,0.7,60,29.796790984848123,47,1.25,0,47.940397214522804
443,"Sand",12.7,0.15,15.000,0.8,60,33.353132063832945,47,1.4166666666666667,0,51.09039721452281
467,"Sand",12.7,0.15,15.000,0.9,60,36.647651377145195,47,1.6666666666666667,0,54.240397214522815
494,"Sand",12.7,0.15,15.000,1,60,39.62648462984648,47,1.9166666666666667,0,57.39039721452281
521,"Sand",12.7,0.15,15.000,1.1,60,42.26416473163281,47,2.1666666666666665,0,60.54039721452281
548,"Sand",12.7,0.15,15.000,1.2,60,44.59363760732585,47,2.4166666666666665,0,63.690397214522804
600,"Sand",12.7,0.3,30.000,0.3,60,21.92661257122773,47,0.75,0,70.68079442904562
625,"Sand",12.7,0.3,30.000,0.4,60,27.355778617792474,47,1.0833333333333333,0,76.98079442904563
652,"Sand",12.7,0.3,30.000,0.5,60,31.92506684190216,47,1.4166666666666667,0,83.28079442904561
681,"Sand",12.7,0.3,30.000,0.6,60,35.606790944723905,47,1.6666666666666667,0,89.58079442904562
711,"Sand",12.7,0.3,30.000,0.7,60,38.53538050803717,47,2,0,95.88079442904561
741,"Sand",12.7,0.3,30.000,0.8,60,40.98671822336115,47,2.3333333333333335,0,102.18079442904562
771,"Sand",12.7,0.3,30.000,0.9,60,43.03378047343696,47,2.75,0,108.48079442904563
801,"Sand",12.7,0.3,30.000,1,60,44.765414242056764,47,3.0833333333333335,0,114.78079442904561
831,"Sand",12.7,0.3,30.000,1.1,60,46.274880491266195,47,3.4166666666666665,0,121.08079442904562
861,"Sand",12.7,0.3,30.000,1.2,60,47.614948463987986,47,3.75,0,127.38079442904561
891,"Sand",12.7,0.5,50.000,0.2,60,21.492943883815894,47,0.75,0,107.30132404840937
921,"Sand",12.7,0.5,50.000,0.3,60,28.08350322381638,47,1.0833333333333333,0,117.80132404840937
951,"Sand",12.7,0.5,50.000,0.4,60,32.50441235100201,47,1.5,0,128.30132404840936
981,"Sand",12.7,0.5,50.000,0.5,60,35.62154178498623,47,1.8333333333333333,0,138.80132404840936
1011,"Sand",12.7,0.5,50.000,0.6,60,37.80628945210322,47,2.25,0,149.30132404840936
1041,"Sand",12.7,0.5,50.000,0.7,60,39.46956176433348,47,2.6666666666666665,0,159.80132404840936
1071,"Sand",12.7,0.5,50.000,0.8,60,40.72891906015268,47,3,0,170.30132404840936
1101,"Sand",12.7,0.5,50.000,0.9,60,41.71763094610553,47,3.4166666666666665,0,180.80132404840936
1131,"Sand",12.7,0.5,50.000,1,60,42.499813595888604,47,3.75,0,191.30132404840936
1161,"Sand",12.7,0.5,50.000,1.1,60,43.13495583916884,47,4.083333333333333,0,201.80132404840936
1191,"Sand",12.7,0.5,50.000,1.2,60,43.63999694839438,47,4.5,0,212.30132404840936
