date,observed_outflow
2023-05-13 01:00:00,0.0
2023-05-13 01:05:00,0.0
2023-05-13 01:10:00,0.0
2023-05-13 01:15:00,0.0
2023-05-13 01:20:00,0.0
2023-05-13 01:25:00,0.016461
2023-05-13 01:30:00,0.173253
2023-05-13 01:35:00,0.220002
2023-05-13 01:40:00,0.212387
2023-05-13 01:45:00,0.17502
2023-05-13 01:50:00,0.148004
2023-05-13 01:55:00,0.130066
2023-05-13 02:00:00,0.139024
2023-05-13 02:05:00,0.16625
2023-05-13 02:10:00,0.1772
2023-05-13 02:15:00,0.136525
2023-05-13 02:20:00,0.110585
2023-05-13 02:25:00,0.098159
2023-05-13 02:30:00,0.086369
2023-05-13 02:35:00,0.079371
2023-05-13 02:40:00,0.075834
2023-05-13 02:45:00,0.071135
2023-05-13 02:50:00,0.066901
2023-05-13 02:55:00,0.061373
2023-05-13 03:00:00,0.056197
2023-05-13 03:05:00,0.051323
2023-05-13 03:10:00,0.048614
2023-05-13 03:15:00,0.045606
2023-05-13 03:20:00,0.042456
2023-05-13 03:25:00,0.039267
2023-05-13 03:30:00,0.036333
2023-05-13 03:35:00,0.033375
2023-05-13 03:40:00,0.030659
2023-05-13 03:45:00,0.028419
2023-05-13 03:50:00,0.026192
2023-05-13 03:55:00,0.023975
2023-05-13 04:00:00,0.021748
2023-05-13 04:05:00,0.019525
2023-05-13 04:10:00,0.017493
2023-05-13 04:15:00,0.015231
2023-05-13 04:20:00,0.013251
2023-05-13 04:25:00,0.01158
2023-05-13 04:30:00,0.01022
2023-05-13 04:35:00,0.008552
2023-05-13 04:40:00,0.008022
2023-05-13 04:45:00,0.007571
2023-05-13 04:50:00,0.007134
2023-05-13 04:55:00,0.006805
2023-05-13 05:00:00,0.00646
2023-05-13 05:05:00,0.006105
2023-05-13 05:10:00,0.005776
2023-05-13 05:15:00,0.005394
2023-05-13 05:20:00,0.004985
2023-05-13 05:25:00,0.004634
2023-05-13 05:30:00,0.004196
2023-05-13 05:35:00,0.003793
2023-05-13 05:40:00,0.003454
2023-05-13 05:45:00,0.003103
2023-05-13 05:50:00,0.002781
2023-05-13 05:55:00,0.002525
2023-05-13 06:00:00,0.002144
