date,observed_outflow
2023-05-13 01:00:00,0.0
2023-05-13 01:05:00,0.0
2023-05-13 01:10:00,0.0
2023-05-13 01:15:00,0.0
2023-05-13 01:20:00,0.0
2023-05-13 01:25:00,0.027117
2023-05-13 01:30:00,0.156574
2023-05-13 01:35:00,0.229955
2023-05-13 01:40:00,0.222022
2023-05-13 01:45:00,0.180104
2023-05-13 01:50:00,0.152364
2023-05-13 01:55:00,0.134995
2023-05-13 02:00:00,0.144098
2023-05-13 02:05:00,0.166765
2023-05-13 02:10:00,0.173173
2023-05-13 02:15:00,0.135567
2023-05-13 02:20:00,0.112001
2023-05-13 02:25:00,0.100393
2023-05-13 02:30:00,0.088307
2023-05-13 02:35:00,0.081863
2023-05-13 02:40:00,0.07867
2023-05-13 02:45:00,0.074949
2023-05-13 02:50:00,0.070935
2023-05-13 02:55:00,0.062767
2023-05-13 03:00:00,0.058137
2023-05-13 03:05:00,0.057672
2023-05-13 03:10:00,0.055448
2023-05-13 03:15:00,0.052998
2023-05-13 03:20:00,0.050237
2023-05-13 03:25:00,0.048296
2023-05-13 03:30:00,0.046584
2023-05-13 03:35:00,0.04456
2023-05-13 03:40:00,0.042616
2023-05-13 03:45:00,0.041058
2023-05-13 03:50:00,0.038608
2023-05-13 03:55:00,0.037359
2023-05-13 04:00:00,0.03631
2023-05-13 04:05:00,0.035075
2023-05-13 04:10:00,0.034091
2023-05-13 04:15:00,0.03332
2023-05-13 04:20:00,0.032278
2023-05-13 04:25:00,0.031426
2023-05-13 04:30:00,0.030717
2023-05-13 04:35:00,0.02997
2023-05-13 04:40:00,0.029311
2023-05-13 04:45:00,0.028644
2023-05-13 04:50:00,0.027998
2023-05-13 04:55:00,0.027449
2023-05-13 05:00:00,0.026942
2023-05-13 05:05:00,0.026222
2023-05-13 05:10:00,0.025484
2023-05-13 05:15:00,0.025019
2023-05-13 05:20:00,0.024636
2023-05-13 05:25:00,0.024109
2023-05-13 05:30:00,0.024088
2023-05-13 05:35:00,0.023583
2023-05-13 05:40:00,0.023476
2023-05-13 05:45:00,0.02326
2023-05-13 05:50:00,0.022658
2023-05-13 05:55:00,0.022476
2023-05-13 06:00:00,0.022358
