date,observed_outflow
2023-10-05 05:30:00,0.0
2023-10-05 05:31:00,0.0
2023-10-05 05:32:00,0.0
2023-10-05 05:33:00,0.0
2023-10-05 05:34:00,0.0
2023-10-05 05:35:00,0.0
2023-10-05 05:36:00,0.0
2023-10-05 05:37:00,0.0
2023-10-05 05:38:00,0.0
2023-10-05 05:39:00,0.0
2023-10-05 05:40:00,0.0
2023-10-05 05:41:00,0.0
2023-10-05 05:42:00,0.0
2023-10-05 05:43:00,0.0
2023-10-05 05:44:00,0.0
2023-10-05 05:45:00,0.000251
2023-10-05 05:46:00,0.00458
2023-10-05 05:47:00,0.007758
2023-10-05 05:48:00,0.009511
2023-10-05 05:49:00,0.011178
2023-10-05 05:50:00,0.012585
2023-10-05 05:51:00,0.014258
2023-10-05 05:52:00,0.017153
2023-10-05 05:53:00,0.02115
2023-10-05 05:54:00,0.025235
2023-10-05 05:55:00,0.027813
2023-10-05 05:56:00,0.029579
2023-10-05 05:57:00,0.028357
2023-10-05 05:58:00,0.025446
2023-10-05 05:59:00,0.024978
2023-10-05 06:00:00,0.02271
2023-10-05 06:01:00,0.02144
2023-10-05 06:02:00,0.019505
2023-10-05 06:03:00,0.017162
2023-10-05 06:04:00,0.017033
2023-10-05 06:05:00,0.015702
2023-10-05 06:06:00,0.014792
2023-10-05 06:07:00,0.013722
2023-10-05 06:08:00,0.013286
2023-10-05 06:09:00,0.012623
2023-10-05 06:10:00,0.01162
2023-10-05 06:11:00,0.010765
2023-10-05 06:12:00,0.010246
2023-10-05 06:13:00,0.009975
2023-10-05 06:14:00,0.009283
2023-10-05 06:15:00,0.00854
2023-10-05 06:16:00,0.008182
2023-10-05 06:17:00,0.008214
2023-10-05 06:18:00,0.008171
2023-10-05 06:19:00,0.008057
2023-10-05 06:20:00,0.007817
2023-10-05 06:21:00,0.007498
2023-10-05 06:22:00,0.007037
2023-10-05 06:23:00,0.00688
2023-10-05 06:24:00,0.006807
2023-10-05 06:25:00,0.006376
2023-10-05 06:26:00,0.005919
2023-10-05 06:27:00,0.005443
2023-10-05 06:28:00,0.005096
2023-10-05 06:29:00,0.004934
2023-10-05 06:30:00,0.004556
2023-10-05 06:31:00,0.004316
2023-10-05 06:32:00,0.004014
2023-10-05 06:33:00,0.003772
2023-10-05 06:34:00,0.003661
2023-10-05 06:35:00,0.003377
2023-10-05 06:36:00,0.003236
2023-10-05 06:37:00,0.002902
2023-10-05 06:38:00,0.00271
2023-10-05 06:39:00,0.002663
2023-10-05 06:40:00,0.002546
2023-10-05 06:41:00,0.002376
2023-10-05 06:42:00,0.002203
2023-10-05 06:43:00,0.001975
2023-10-05 06:44:00,0.001865
2023-10-05 06:45:00,0.001792
2023-10-05 06:46:00,0.00166
2023-10-05 06:47:00,0.001459
2023-10-05 06:48:00,0.001381
2023-10-05 06:49:00,0.001247
2023-10-05 06:50:00,0.001084
2023-10-05 06:51:00,0.001019
2023-10-05 06:52:00,0.000944
2023-10-05 06:53:00,0.000904
2023-10-05 06:54:00,0.000809
2023-10-05 06:55:00,0.000697
2023-10-05 06:56:00,0.000612
2023-10-05 06:57:00,0.000604
2023-10-05 06:58:00,0.000542
2023-10-05 06:59:00,0.000491
2023-10-05 07:00:00,0.000535
2023-10-05 07:01:00,0.000574
2023-10-05 07:02:00,0.000663
2023-10-05 07:03:00,0.000852
2023-10-05 07:04:00,0.001126
2023-10-05 07:05:00,0.000451
2023-10-05 07:06:00,0.001469
2023-10-05 07:07:00,0.001733
2023-10-05 07:08:00,0.001884
2023-10-05 07:09:00,0.002062
2023-10-05 07:10:00,0.002347
2023-10-05 07:11:00,0.00255
2023-10-05 07:12:00,0.00271
2023-10-05 07:13:00,0.003026
2023-10-05 07:14:00,0.003114
2023-10-05 07:15:00,0.003235
2023-10-05 07:16:00,0.003509
2023-10-05 07:17:00,0.003628
2023-10-05 07:18:00,0.003702
2023-10-05 07:19:00,0.003856
2023-10-05 07:20:00,0.003802
2023-10-05 07:21:00,0.003911
2023-10-05 07:22:00,0.003914
2023-10-05 07:23:00,0.00399
2023-10-05 07:24:00,0.003875
2023-10-05 07:25:00,0.003864
2023-10-05 07:26:00,0.003932
2023-10-05 07:27:00,0.003708
2023-10-05 07:28:00,0.003594
2023-10-05 07:29:00,0.003565
2023-10-05 07:30:00,0.00338
2023-10-05 07:31:00,0.003336
2023-10-05 07:32:00,0.003366
2023-10-05 07:33:00,0.003167
2023-10-05 07:34:00,0.003133
2023-10-05 07:35:00,0.003022
2023-10-05 07:36:00,0.00293
2023-10-05 07:37:00,0.00266
2023-10-05 07:38:00,0.002682
2023-10-05 07:39:00,0.002538
2023-10-05 07:40:00,0.002478
2023-10-05 07:41:00,0.00241
2023-10-05 07:42:00,0.00223
2023-10-05 07:43:00,0.002169
2023-10-05 07:44:00,0.002037
2023-10-05 07:45:00,0.00188
2023-10-05 07:46:00,0.001851
2023-10-05 07:47:00,0.001755
2023-10-05 07:48:00,0.001613
2023-10-05 07:49:00,0.001596
2023-10-05 07:50:00,0.001436
2023-10-05 07:51:00,0.001373
2023-10-05 07:52:00,0.00128
2023-10-05 07:53:00,0.001224
2023-10-05 07:54:00,0.001139
2023-10-05 07:55:00,0.001035
2023-10-05 07:56:00,0.001
2023-10-05 07:57:00,0.00088
2023-10-05 07:58:00,0.000765
2023-10-05 07:59:00,0.000734
2023-10-05 08:00:00,0.000622
2023-10-05 08:01:00,0.000577
2023-10-05 08:02:00,0.000552
2023-10-05 08:03:00,0.000481
2023-10-05 08:04:00,0.000452
2023-10-05 08:05:00,0.000485
2023-10-05 08:06:00,0.000468
2023-10-05 08:07:00,0.000454
2023-10-05 08:08:00,0.000502
2023-10-05 08:09:00,0.0005
2023-10-05 08:10:00,0.000489
2023-10-05 08:11:00,0.000543
2023-10-05 08:12:00,0.0006
2023-10-05 08:13:00,0.000591
2023-10-05 08:14:00,0.000586
2023-10-05 08:15:00,0.000654
2023-10-05 08:16:00,0.000709
2023-10-05 08:17:00,0.000753
2023-10-05 08:18:00,0.000901
2023-10-05 08:19:00,0.001171
2023-10-05 08:20:00,0.001354
2023-10-05 08:21:00,0.001581
2023-10-05 08:22:00,0.001817
2023-10-05 08:23:00,0.001954
2023-10-05 08:24:00,0.002065
2023-10-05 08:25:00,0.002258
2023-10-05 08:26:00,0.002309
2023-10-05 08:27:00,0.002305
2023-10-05 08:28:00,0.001657
2023-10-05 08:29:00,0.00236
2023-10-05 08:30:00,0.002343
2023-10-05 08:31:00,0.002475
2023-10-05 08:32:00,0.00246
2023-10-05 08:33:00,0.00236
2023-10-05 08:34:00,0.002386
2023-10-05 08:35:00,0.002344
2023-10-05 08:36:00,0.002308
2023-10-05 08:37:00,0.002238
2023-10-05 08:38:00,0.002315
2023-10-05 08:39:00,0.00222
2023-10-05 08:40:00,0.002112
